n, t, workers, frac, accesses, time
40, 500, 15, 0, 10, 4.629899827763438
40, 1000, 1, 0, 1, 14.21340411156416
40, 1000, 2, 0, 1, 7.302562789060175
40, 1000, 4, 0, 1, 3.982958431355655
40, 1000, 8, 0, 1, 2.366081263870001
40, 1000, 15, 0, 1, 2.688459132798016
40, 1000, 1, 0, 5, 14.77833002153784
40, 1000, 2, 0, 5, 7.531101169064641
40, 1000, 4, 0, 5, 4.378179477527738
40, 1000, 8, 0, 5, 3.1118506686761975
40, 1000, 15, 0, 5, 4.4114255253225565
40, 1000, 1, 0, 10, 15.206520699895918
40, 1000, 2, 0, 10, 8.030467229895294
40, 1000, 4, 0, 10, 4.922824965789914
40, 1000, 8, 0, 10, 3.9707144228741527
40, 1000, 15, 0, 10, 6.378733599558473
40, 2000, 1, 0, 1, 25.48922775965184
40, 2000, 2, 0, 1, 13.153137303888798
40, 2000, 4, 0, 1, 6.9278741385787725
40, 2000, 8, 0, 1, 3.8767172880470753
40, 2000, 15, 0, 1, 2.9120448725298047
40, 2000, 1, 0, 5, 25.707524210214615
40, 2000, 2, 0, 5, 13.441706174053252
40, 2000, 4, 0, 5, 7.087249712087214
40, 2000, 8, 0, 5, 4.0979792242869735
40, 2000, 15, 0, 5, 4.2964967442676425
40, 2000, 1, 0, 10, 26.340389057062566
40, 2000, 2, 0, 10, 13.738661644980311
40, 2000, 4, 0, 10, 7.498724985867739
40, 2000, 8, 0, 10, 4.650677642785013
40, 2000, 15, 0, 10, 6.028921918012202
40, 4000, 1, 0, 1, 48.22203989047557
40, 4000, 2, 0, 1, 24.65786115732044
40, 4000, 4, 0, 1, 12.717945974320173
40, 4000, 8, 0, 1, 6.720696248114109
40, 4000, 15, 0, 1, 3.982427983544767
40, 4000, 1, 0, 5, 48.65090539678931
40, 4000, 2, 0, 5, 24.93184315226972
40, 4000, 4, 0, 5, 12.952693566679955
40, 4000, 8, 0, 5, 6.925778767094016
40, 4000, 15, 0, 5, 4.498432497493923
40, 4000, 1, 0, 10, 49.27097360044718
40, 4000, 2, 0, 10, 25.33072796743363
40, 4000, 4, 0, 10, 13.193047259002924
40, 4000, 8, 0, 10, 7.139987060800195
40, 4000, 15, 0, 10, 5.7995015708729625
40, 8000, 1, 0, 1, 94.37061020359397
40, 8000, 2, 0, 1, 47.64708393905312
40, 8000, 4, 0, 1, 24.33237941004336
40, 8000, 8, 0, 1, 12.577113281935453
40, 8000, 15, 0, 1, 7.1913460828363895
40, 8000, 1, 0, 5, 94.57968129403889
40, 8000, 2, 0, 5, 48.008800874464214
40, 8000, 4, 0, 5, 24.49475099518895
40, 8000, 8, 0, 5, 12.750751428306103
40, 8000, 15, 0, 5, 7.3722568498924375
40, 8000, 1, 0, 10, 94.96495910454541
40, 8000, 2, 0, 10, 48.3329289406538
40, 8000, 4, 0, 10, 24.727389789186418
40, 8000, 8, 0, 10, 12.834535280242562
40, 8000, 15, 0, 10, 7.739087738096714
40, 16000, 1, 0, 1, 186.07306035328656
40, 16000, 2, 0, 1, 93.75397093687207
40, 16000, 4, 0, 1, 47.461365692317486
40, 16000, 8, 0, 1, 24.12361735291779
40, 16000, 15, 0, 1, 13.437694882042706
40, 16000, 1, 0, 5, 186.24830142781138
40, 16000, 2, 0, 5, 94.03390412591398
40, 16000, 4, 0, 5, 47.65121516492218
40, 16000, 8, 0, 5, 24.41526109073311
40, 16000, 15, 0, 5, 13.52635320276022
40, 16000, 1, 0, 10, 187.34067847020924
40, 16000, 2, 0, 10, 94.38748595491052
40, 16000, 4, 0, 10, 47.83305607549846
40, 16000, 8, 0, 10, 24.330771383829415
40, 16000, 15, 0, 10, 13.704171229153872
40, 32000, 1, 0, 1, 369.463399422355
40, 32000, 2, 0, 1, 185.72058073990047
40, 32000, 4, 0, 1, 93.73840003553778
40, 32000, 8, 0, 1, 47.29878855776042
40, 32000, 15, 0, 1, 26.140943449921906
40, 32000, 1, 0, 5, 369.9890402108431
40, 32000, 2, 0, 5, 185.9329076949507
40, 32000, 4, 0, 5, 93.85972436796874
40, 32000, 8, 0, 5, 47.96789724379778
40, 32000, 15, 0, 5, 26.142067417502403
40, 32000, 1, 0, 10, 370.3487967979163
40, 32000, 2, 0, 10, 186.47006180044264
40, 32000, 4, 0, 10, 93.9873808156699
40, 32000, 8, 0, 10, 47.46162271127105
40, 32000, 15, 0, 10, 26.227380890399218
10, 500, 1, 0.0125, 1, 0.15654496010392904
10, 500, 2, 0.0125, 1, 0.09186879079788923
10, 500, 4, 0.0125, 1, 0.045822158455848694
10, 500, 8, 0.0125, 1, 0.04294330254197121
10, 500, 15, 0.0125, 1, 0.048488494008779526
10, 500, 1, 0.0125, 5, 0.160715751349926
10, 500, 2, 0.0125, 5, 0.09379659313708544
10, 500, 4, 0.0125, 5, 0.05628495663404465
10, 500, 8, 0.0125, 5, 0.05724409315735102
10, 500, 15, 0.0125, 5, 0.07272786740213633
10, 500, 1, 0.0125, 10, 0.16852121148258448
10, 500, 2, 0.0125, 10, 0.0946630910038948
10, 500, 4, 0.0125, 10, 0.06919567752629519
10, 500, 8, 0.0125, 10, 0.07237659394741058
10, 500, 15, 0.0125, 10, 0.08189562056213617
10, 1000, 1, 0.0125, 1, 0.26941942796111107
10, 1000, 2, 0.0125, 1, 0.14070355705916882
10, 1000, 4, 0.0125, 1, 0.0780021445825696
