n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
20, 4000, 4, 0, 10, 137025508, 8897.76025974026, 5131.0, 0, nan, nan, 0
20, 4000, 8, 0, 10, 473580163, 30751.958636363637, 6805.5, 0, nan, nan, 0
20, 4000, 15, 0, 10, 6539514560, 424643.8025974026, 269557.0, 0, nan, nan, 0
20, 8000, 1, 0, 1, 9407358, 6108.674025974026, 3809.0, 0, nan, nan, 0
20, 8000, 2, 0, 1, 25738354, 16713.216883116882, 8173.5, 0, nan, nan, 0
20, 8000, 4, 0, 1, 43928648, 28525.096103896103, 10070.5, 0, nan, nan, 0
20, 8000, 8, 0, 1, 39024519, 25340.596753246755, 9375.0, 0, nan, nan, 0
20, 8000, 15, 0, 1, 78019822, 50662.22207792208, 11100.0, 0, nan, nan, 0
20, 8000, 1, 0, 5, 23658796, 3072.570909090909, 2414.0, 0, nan, nan, 0
20, 8000, 2, 0, 5, 69296297, 8999.51909090909, 5442.0, 0, nan, nan, 0
20, 8000, 4, 0, 5, 84245461, 10940.968961038961, 5458.0, 0, nan, nan, 0
20, 8000, 8, 0, 5, 113233587, 14705.66064935065, 5495.5, 0, nan, nan, 0
20, 8000, 15, 0, 5, 255101625, 33130.081168831166, 7292.5, 0, nan, nan, 0
20, 8000, 1, 0, 10, 42633356, 2768.39974025974, 2280.0, 0, nan, nan, 0
20, 8000, 2, 0, 10, 111527128, 7242.021298701298, 5617.0, 0, nan, nan, 0
20, 8000, 4, 0, 10, 143535166, 9320.465324675324, 5350.0, 0, nan, nan, 0
20, 8000, 8, 0, 10, 211241191, 13716.960454545455, 5460.0, 0, nan, nan, 0
20, 8000, 15, 0, 10, 826380146, 53661.04844155844, 8891.0, 0, nan, nan, 0
20, 16000, 1, 0, 1, 11752137, 7631.257792207793, 5622.5, 0, nan, nan, 0
20, 16000, 2, 0, 1, 32601262, 21169.65064935065, 11140.5, 0, nan, nan, 0
20, 16000, 4, 0, 1, 51298291, 33310.578571428574, 11579.5, 0, nan, nan, 0
20, 16000, 8, 0, 1, 48824945, 31704.50974025974, 10212.5, 0, nan, nan, 0
20, 16000, 15, 0, 1, 75866263, 49263.80714285714, 12343.0, 0, nan, nan, 0
20, 16000, 1, 0, 5, 24847812, 3226.9885714285715, 2376.0, 0, nan, nan, 0
20, 16000, 2, 0, 5, 68554522, 8903.184675324675, 5629.0, 0, nan, nan, 0
20, 16000, 4, 0, 5, 83745168, 10875.995844155845, 5582.0, 0, nan, nan, 0
20, 16000, 8, 0, 5, 116470713, 15126.066623376624, 5862.0, 0, nan, nan, 0
20, 16000, 15, 0, 5, 180497181, 23441.192337662338, 6192.0, 0, nan, nan, 0
20, 16000, 1, 0, 10, 39253976, 2548.9594805194806, 2104.0, 0, nan, nan, 0
20, 16000, 2, 0, 10, 122406587, 7948.479675324676, 5616.0, 0, nan, nan, 0
20, 16000, 4, 0, 10, 134846936, 8756.294545454546, 5155.0, 0, nan, nan, 0
20, 16000, 8, 0, 10, 174902139, 11357.281753246752, 5466.0, 0, nan, nan, 0
20, 16000, 15, 0, 10, 376740637, 24463.677727272727, 5972.0, 0, nan, nan, 0
20, 32000, 1, 0, 1, 11442660, 7430.298701298701, 6908.5, 0, nan, nan, 0
20, 32000, 2, 0, 1, 40486508, 26289.94025974026, 11152.0, 0, nan, nan, 0
20, 32000, 4, 0, 1, 44936456, 29179.516883116885, 12502.5, 0, nan, nan, 0
20, 32000, 8, 0, 1, 85435536, 55477.62077922078, 13915.5, 0, nan, nan, 0
20, 32000, 15, 0, 1, 101528552, 65927.63116883117, 15310.0, 0, nan, nan, 0
20, 32000, 1, 0, 5, 29173613, 3788.780909090909, 2804.0, 0, nan, nan, 0
20, 32000, 2, 0, 5, 81356505, 10565.77987012987, 6230.0, 0, nan, nan, 0
20, 32000, 4, 0, 5, 117012643, 15196.447142857143, 6137.5, 0, nan, nan, 0
20, 32000, 8, 0, 5, 99825868, 12964.398441558442, 5885.0, 0, nan, nan, 0
20, 32000, 15, 0, 5, 178459165, 23176.514935064934, 6412.0, 0, nan, nan, 0
20, 32000, 1, 0, 10, 45051581, 2925.427337662338, 2256.0, 0, nan, nan, 0
20, 32000, 2, 0, 10, 107204529, 6961.333051948052, 5301.0, 0, nan, nan, 0
20, 32000, 4, 0, 10, 129286584, 8395.232727272727, 5333.0, 0, nan, nan, 0
20, 32000, 8, 0, 10, 172293640, 11187.898701298702, 5515.0, 0, nan, nan, 0
20, 32000, 15, 0, 10, 222290913, 14434.47487012987, 6007.0, 0, nan, nan, 0
40, 500, 1, 0, 1, 50406231, 4390.786672473868, 3745.0, 0, nan, nan, 0
40, 500, 2, 0, 1, 213486605, 18596.394163763067, 7340.0, 0, nan, nan, 0
40, 500, 4, 0, 1, 276487006, 24084.233972125436, 9049.0, 0, nan, nan, 0
40, 500, 8, 0, 1, 3975884730, 346331.4224738676, 285239.5, 0, nan, nan, 0
40, 500, 15, 0, 1, 9863249320, 859168.0592334495, 852136.5, 0, nan, nan, 0
40, 500, 1, 0, 5, 173940845, 3030.3283101045295, 2370.0, 0, nan, nan, 0
40, 500, 2, 0, 5, 736837472, 12836.88975609756, 5303.0, 0, nan, nan, 0
40, 500, 4, 0, 5, 3248234267.0, 56591.418986724275, 22479.5, 0, nan, nan, 0
40, 500, 8, 0, 5, 20177230355, 351519.69259581884, 270613.0, 0, nan, nan, 0
40, 500, 15, 0, 5, 38206875709.0, 665648.2056691871, 609014.5, 0, nan, nan, 0
40, 500, 1, 0, 10, 235929651, 2055.1363327526133, 1824.0, 0, nan, nan, 0
40, 500, 2, 0, 10, 777444713, 6772.1664895470385, 4967.0, 0, nan, nan, 0
40, 500, 4, 0, 10, 6591940107, 57421.08107142857, 28559.5, 0, nan, nan, 0
40, 500, 8, 0, 10, 39513754727.0, 344202.4663060332, 261829.5, 0, nan, nan, 0
40, 500, 15, 0, 10, 91685583585.0, 798849.7506796083, 692117.5, 0, nan, nan, 0
40, 1000, 1, 0, 1, 45251109, 3941.7342334494774, 3455.0, 0, nan, nan, 0
40, 1000, 2, 0, 1, 253155309, 22051.856184668988, 9056.0, 0, nan, nan, 0
40, 1000, 4, 0, 1, 224349721, 19542.65862369338, 8498.0, 0, nan, nan, 0
40, 1000, 8, 0, 1, 782567411, 68167.89294425087, 45591.5, 0, nan, nan, 0
40, 1000, 15, 0, 1, 8980000030, 782229.9677700348, 740105.5, 0, nan, nan, 0
40, 1000, 1, 0, 5, 138754853, 2417.331933797909, 2081.0, 0, nan, nan, 0
40, 1000, 2, 0, 5, 537971492, 9372.325644599303, 5394.0, 0, nan, nan, 0
40, 1000, 4, 0, 5, 1586218355, 27634.466114982577, 7781.0, 0, nan, nan, 0
40, 1000, 8, 0, 5, 14719012838, 256428.795087108, 204673.5, 0, nan, nan, 0
40, 1000, 15, 0, 5, 45297726543.0, 789269.0016552829, 697583.0, 0, nan, nan, 0
40, 1000, 1, 0, 10, 262102790, 2283.125348432056, 2073.0, 0, nan, nan, 0
40, 1000, 2, 0, 10, 1227301328, 10690.778118466898, 5322.0, 0, nan, nan, 0
40, 1000, 4, 0, 10, 3966861032, 34554.53860627177, 6800.0, 0, nan, nan, 0
40, 1000, 8, 0, 10, 33436976959.0, 291283.1639748415, 224334.0, 0, nan, nan, 0
40, 1000, 15, 0, 10, 83139156027.0, 724309.6252700725, 598908.0, 0, nan, nan, 0
40, 2000, 1, 0, 1, 48297826, 4207.127700348432, 3533.0, 0, nan, nan, 0
40, 2000, 2, 0, 1, 249617705, 21743.702526132405, 9097.0, 0, nan, nan, 0
40, 2000, 4, 0, 1, 267123838, 23268.627003484322, 9097.0, 0, nan, nan, 0
40, 2000, 8, 0, 1, 338260886, 29465.233972125436, 9645.0, 0, nan, nan, 0
40, 2000, 15, 0, 1, 4614715297, 401978.6844076655, 326825.0, 0, nan, nan, 0
40, 2000, 1, 0, 5, 151949474, 2647.2033797909407, 2363.0, 0, nan, nan, 0
40, 2000, 2, 0, 5, 511805239, 8916.467578397212, 5373.0, 0, nan, nan, 0
40, 2000, 4, 0, 5, 924735540, 16110.375261324041, 5680.0, 0, nan, nan, 0
40, 2000, 8, 0, 5, 4472803804.0, 77926.12641555455, 25111.5, 0, nan, nan, 0
40, 2000, 15, 0, 5, 37393818178.0, 651551.0555129634, 593226.5, 0, nan, nan, 0
40, 2000, 1, 0, 10, 273635258, 2383.582386759582, 2183.0, 0, nan, nan, 0
40, 2000, 2, 0, 10, 896229650, 7806.878484320558, 5272.0, 0, nan, nan, 0
40, 2000, 4, 0, 10, 2415082937, 21037.30781358885, 6129.0, 0, nan, nan, 0
40, 2000, 8, 0, 10, 15559024279.0, 135533.93159288488, 84107.5, 0, nan, nan, 0
40, 2000, 15, 0, 10, 83187240401.0, 724703.2825818029, 625003.0, 0, nan, nan, 0
40, 4000, 1, 0, 1, 53605044, 4669.4289198606275, 3611.0, 0, nan, nan, 0
40, 4000, 2, 0, 1, 223023383, 19427.12395470383, 8453.5, 0, nan, nan, 0
40, 4000, 4, 0, 1, 282187892, 24580.82682926829, 9399.5, 0, nan, nan, 0
40, 4000, 8, 0, 1, 370644631, 32286.11768292683, 9706.5, 0, nan, nan, 0
40, 4000, 15, 0, 1, 501865351, 43716.49398954704, 11961.5, 0, nan, nan, 0
40, 4000, 1, 0, 5, 152348868, 2654.161463414634, 2320.0, 0, nan, nan, 0
40, 4000, 2, 0, 5, 460880403, 8029.275313588851, 5313.0, 0, nan, nan, 0
40, 4000, 4, 0, 5, 605241987, 10544.285487804878, 5451.0, 0, nan, nan, 0
40, 4000, 8, 0, 5, 1379476850, 24032.69773519164, 6453.0, 0, nan, nan, 0
40, 4000, 15, 0, 5, 20158298904, 351189.87637630664, 222878.5, 0, nan, nan, 0
40, 4000, 1, 0, 10, 281890010, 2455.4878919860626, 2227.0, 0, nan, nan, 0
40, 4000, 2, 0, 10, 790649253, 6887.188614982579, 5194.0, 0, nan, nan, 0
40, 4000, 4, 0, 10, 1279980496, 11149.655888501742, 5367.0, 0, nan, nan, 0
40, 4000, 8, 0, 10, 4744377224, 41327.32773519164, 7838.0, 0, nan, nan, 0
40, 4000, 15, 0, 10, 68449141559.0, 596267.6535680685, 509773.0, 0, nan, nan, 0
40, 8000, 1, 0, 1, 59861301, 5214.3990418118465, 4104.0, 0, nan, nan, 0
40, 8000, 2, 0, 1, 198325341, 17275.72656794425, 8458.0, 0, nan, nan, 0
40, 8000, 4, 0, 1, 300699499, 26193.336149825784, 9312.0, 0, nan, nan, 0
40, 8000, 8, 0, 1, 335002136, 29181.370731707317, 10869.0, 0, nan, nan, 0
40, 8000, 15, 0, 1, 360330342, 31387.66045296167, 9257.0, 0, nan, nan, 0
40, 8000, 1, 0, 5, 163244956, 2843.988780487805, 2456.0, 0, nan, nan, 0
40, 8000, 2, 0, 5, 459831523, 8011.002142857143, 5580.0, 0, nan, nan, 0
40, 8000, 4, 0, 5, 569671261, 9924.586428571429, 5638.0, 0, nan, nan, 0
40, 8000, 8, 0, 5, 800036024, 13937.909825783972, 5925.0, 0, nan, nan, 0
40, 8000, 15, 0, 5, 2692083766, 46900.41404181185, 9060.0, 0, nan, nan, 0
40, 8000, 1, 0, 10, 310793749, 2707.2626219512194, 2404.0, 0, nan, nan, 0
40, 8000, 2, 0, 10, 782744503, 6818.331907665505, 5419.0, 0, nan, nan, 0
40, 8000, 4, 0, 10, 966050588, 8415.07480836237, 5339.0, 0, nan, nan, 0
40, 8000, 8, 0, 10, 1738347167, 15142.396925087109, 5794.0, 0, nan, nan, 0
40, 8000, 15, 0, 10, 10933385349.0, 95240.20757330267, 13155.0, 0, nan, nan, 0
40, 16000, 1, 0, 1, 67296997, 5862.10775261324, 4668.5, 0, nan, nan, 0
40, 16000, 2, 0, 1, 213755381, 18619.80670731707, 9010.5, 0, nan, nan, 0
40, 16000, 4, 0, 1, 309080625, 26923.399390243903, 9876.5, 0, nan, nan, 0
40, 16000, 8, 0, 1, 332087605, 28927.491724738677, 11015.0, 0, nan, nan, 0
40, 16000, 15, 0, 1, 306120821, 26665.57674216028, 10920.5, 0, nan, nan, 0
40, 16000, 1, 0, 5, 185258862, 3227.506306620209, 2588.0, 0, nan, nan, 0
40, 16000, 2, 0, 5, 478604308, 8338.054146341463, 5857.0, 0, nan, nan, 0
