n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
1000, 16000, 15, 0, 5, 96094146, 19218.8292, 6536.5, 0, nan, nan, 0
1000, 16000, 1, 0, 10, 28903945, 2890.3945, 2291.0, 0, nan, nan, 0
1000, 16000, 2, 0, 10, 73123225, 7312.3225, 5058.0, 0, nan, nan, 0
1000, 16000, 4, 0, 10, 96383617, 9638.3617, 5043.0, 0, nan, nan, 0
1000, 16000, 8, 0, 10, 104463277, 10446.3277, 5305.0, 0, nan, nan, 0
1000, 16000, 15, 0, 10, 190303335, 19030.3335, 6001.0, 0, nan, nan, 0
1000, 32000, 1, 0, 1, 8068261, 8068.261, 6731.5, 0, nan, nan, 0
1000, 32000, 2, 0, 1, 26765020, 26765.02, 12970.5, 0, nan, nan, 0
1000, 32000, 4, 0, 1, 40511208, 40511.208, 11511.5, 0, nan, nan, 0
1000, 32000, 15, 0, 1, 24227065, 24227.065, 10233.0, 0, nan, nan, 0
1000, 32000, 1, 0, 5, 21297987, 4259.5974, 2870.5, 0, nan, nan, 0
1000, 32000, 2, 0, 5, 52157145, 10431.429, 6080.0, 0, nan, nan, 0
1000, 32000, 4, 0, 5, 56354590, 11270.918, 5232.0, 0, nan, nan, 0
1000, 32000, 8, 0, 5, 75766630, 15153.326, 5761.5, 0, nan, nan, 0
1000, 32000, 15, 0, 5, 68809994, 13761.9988, 6187.0, 0, nan, nan, 0
1000, 32000, 1, 0, 10, 27240010, 2724.001, 2035.0, 0, nan, nan, 0
1000, 32000, 2, 0, 10, 73364590, 7336.459, 5118.0, 0, nan, nan, 0
1000, 32000, 4, 0, 10, 89393807, 8939.3807, 5228.0, 0, nan, nan, 0
1000, 32000, 8, 0, 10, 100279002, 10027.9002, 5424.5, 0, nan, nan, 0
1000, 32000, 15, 0, 10, 139106547, 13910.6547, 5958.0, 0, nan, nan, 0
1000, 64000, 1, 0, 1, 10131958, 10131.958, 8563.5, 0, nan, nan, 0
1000, 64000, 2, 0, 1, 31761391, 31761.391, 16520.5, 0, nan, nan, 0
1000, 64000, 4, 0, 1, 61686951, 61686.951, 31180.0, 0, nan, nan, 0
1000, 64000, 8, 0, 1, 51694270, 51694.27, 16476.5, 0, nan, nan, 0
1000, 64000, 15, 0, 1, 34278263, 34278.263, 13845.5, 0, nan, nan, 0
1000, 64000, 1, 0, 5, 25262267, 5052.4534, 3571.0, 0, nan, nan, 0
1000, 64000, 2, 0, 5, 57707413, 11541.4826, 5903.5, 0, nan, nan, 0
1000, 64000, 4, 0, 5, 85063319, 17012.6638, 6501.0, 0, nan, nan, 0
1000, 64000, 8, 0, 5, 95798892, 19159.7784, 7490.0, 0, nan, nan, 0
1000, 64000, 15, 0, 5, 109752794, 21950.5588, 7721.5, 0, nan, nan, 0
1000, 64000, 1, 0, 10, 34588812, 3458.8812, 2506.0, 0, nan, nan, 0
1000, 64000, 2, 0, 10, 78292176, 7829.2176, 5152.0, 0, nan, nan, 0
1000, 64000, 4, 0, 10, 108592653, 10859.2653, 5392.5, 0, nan, nan, 0
1000, 64000, 8, 0, 10, 104127283, 10412.7283, 5634.0, 0, nan, nan, 0
1000, 64000, 15, 0, 10, 134894485, 13489.4485, 6230.0, 0, nan, nan, 0
500, 500, 1, 0.0125, 1, 1780572, 3561.144, 2967.0, 0, nan, nan, 0
500, 500, 2, 0.0125, 1, 5891854, 11783.708, 5400.0, 0, nan, nan, 0
500, 500, 4, 0.0125, 1, 14787299, 29574.598, 6985.0, 0, nan, nan, 0
500, 500, 8, 0.0125, 1, 128313713, 256627.426, 196550.0, 0, nan, nan, 0
500, 500, 15, 0.0125, 1, 389232310, 778464.62, 703917.0, 0, nan, nan, 0
500, 500, 1, 0.0125, 5, 6237643, 2495.0572, 2042.5, 0, nan, nan, 0
500, 500, 2, 0.0125, 5, 20701779, 8280.7116, 4189.0, 0, nan, nan, 0
500, 500, 4, 0.0125, 5, 101196043, 40478.4172, 7880.5, 0, nan, nan, 0
500, 500, 8, 0.0125, 5, 863386204, 345354.4816, 252416.0, 0, nan, nan, 0
500, 500, 15, 0.0125, 5, 1462119346, 584847.7384, 529043.0, 0, nan, nan, 0
500, 500, 1, 0.0125, 10, 11088392, 2217.6784, 1708.0, 0, nan, nan, 0
500, 500, 2, 0.0125, 10, 33046740, 6609.348, 4921.5, 0, nan, nan, 0
500, 500, 4, 0.0125, 10, 233203373, 46640.6746, 24803.5, 0, nan, nan, 0
500, 500, 8, 0.0125, 10, 1677326603, 335465.3206, 258439.5, 0, nan, nan, 0
500, 500, 15, 0.0125, 10, 2960321956, 592064.3912, 544424.5, 0, nan, nan, 0
500, 1000, 1, 0.0125, 1, 2098768, 4197.536, 3445.5, 0, nan, nan, 0
500, 1000, 2, 0.0125, 1, 11967186, 23934.372, 9220.0, 0, nan, nan, 0
500, 1000, 4, 0.0125, 1, 11439003, 22878.006, 7823.5, 0, nan, nan, 0
500, 1000, 8, 0.0125, 1, 33870672, 67741.344, 23424.5, 0, nan, nan, 0
500, 1000, 15, 0.0125, 1, 403859966, 807719.932, 748360.5, 0, nan, nan, 0
500, 1000, 1, 0.0125, 5, 6459419, 2583.7676, 2194.0, 0, nan, nan, 0
500, 1000, 2, 0.0125, 5, 26183210, 10473.284, 5106.0, 0, nan, nan, 0
500, 1000, 4, 0.0125, 5, 55462985, 22185.194, 6277.5, 0, nan, nan, 0
500, 1000, 8, 0.0125, 5, 440893968, 176357.5872, 150415.5, 0, nan, nan, 0
500, 1000, 15, 0.0125, 5, 1537955734, 615182.2936, 546018.0, 0, nan, nan, 0
500, 1000, 1, 0.0125, 10, 11917169, 2383.4338, 2046.0, 0, nan, nan, 0
500, 1000, 2, 0.0125, 10, 34419651, 6883.9302, 4782.0, 0, nan, nan, 0
500, 1000, 4, 0.0125, 10, 137165648, 27433.1296, 5205.0, 0, nan, nan, 0
500, 1000, 8, 0.0125, 10, 1327121866, 265424.3732, 205195.0, 0, nan, nan, 0
500, 1000, 15, 0.0125, 10, 2608288189, 521657.6378, 474802.5, 0, nan, nan, 0
500, 2000, 1, 0.0125, 1, 2106963, 4213.926, 3409.0, 0, nan, nan, 0
500, 2000, 2, 0.0125, 1, 5893179, 11786.358, 5861.0, 0, nan, nan, 0
500, 2000, 4, 0.0125, 1, 15747345, 31494.69, 10033.0, 0, nan, nan, 0
500, 2000, 8, 0.0125, 1, 36267568, 72535.136, 12682.0, 0, nan, nan, 0
500, 2000, 15, 0.0125, 1, 245105103, 490210.206, 380343.0, 0, nan, nan, 0
500, 2000, 1, 0.0125, 5, 6423279, 2569.3116, 2200.0, 0, nan, nan, 0
500, 2000, 2, 0.0125, 5, 27910511, 11164.2044, 5076.0, 0, nan, nan, 0
500, 2000, 4, 0.0125, 5, 32916159, 13166.4636, 5106.0, 0, nan, nan, 0
500, 2000, 8, 0.0125, 5, 148250745, 59300.298, 10811.0, 0, nan, nan, 0
500, 2000, 15, 0.0125, 5, 1738952898, 695581.1592, 612476.0, 0, nan, nan, 0
500, 2000, 1, 0.0125, 10, 11975690, 2395.138, 2095.5, 0, nan, nan, 0
500, 2000, 2, 0.0125, 10, 41046873, 8209.3746, 4901.0, 0, nan, nan, 0
500, 2000, 4, 0.0125, 10, 97662200, 19532.44, 3883.0, 0, nan, nan, 0
500, 2000, 8, 0.0125, 10, 422871413, 84574.2826, 40120.0, 0, nan, nan, 0
500, 2000, 15, 0.0125, 10, 3247293341, 649458.6682, 561214.0, 0, nan, nan, 0
500, 4000, 1, 0.0125, 1, 3690579, 7381.158, 3696.5, 0, nan, nan, 0
500, 4000, 2, 0.0125, 1, 17792596, 35585.192, 11082.0, 0, nan, nan, 0
500, 4000, 4, 0.0125, 1, 16293078, 32586.156, 7852.0, 0, nan, nan, 0
500, 4000, 8, 0.0125, 1, 34658703, 69317.406, 49275.5, 0, nan, nan, 0
500, 4000, 15, 0.0125, 1, 59111085, 118222.17, 9782.0, 0, nan, nan, 0
500, 4000, 1, 0.0125, 5, 7850138, 3140.0552, 2408.0, 0, nan, nan, 0
500, 4000, 2, 0.0125, 5, 22296132, 8918.4528, 5107.5, 0, nan, nan, 0
500, 4000, 4, 0.0125, 5, 30002333, 12000.9332, 5285.0, 0, nan, nan, 0
500, 4000, 8, 0.0125, 5, 65940702, 26376.2808, 5526.0, 0, nan, nan, 0
500, 4000, 15, 0.0125, 5, 706911618, 282764.6472, 144254.5, 0, nan, nan, 0
