n, t, workers, frac, accesses, time
1000, 4000, 15, 0.0125, 1, 0.3009957345202565
1000, 4000, 1, 0.0125, 5, 4.194744753651321
1000, 4000, 2, 0.0125, 5, 2.113597458228469
1000, 4000, 4, 0.0125, 5, 1.0664856946095824
1000, 4000, 8, 0.0125, 5, 0.5423316452652216
1000, 4000, 15, 0.0125, 5, 0.31814813800156116
1000, 4000, 1, 0.0125, 10, 4.186375921592116
1000, 4000, 2, 0.0125, 10, 2.130272386595607
1000, 4000, 4, 0.0125, 10, 1.0784154571592808
1000, 4000, 8, 0.0125, 10, 0.5584205724298954
1000, 4000, 15, 0.0125, 10, 0.3805332574993372
1000, 8000, 1, 0.0125, 1, 8.192811929620802
1000, 8000, 2, 0.0125, 1, 4.130986321717501
1000, 8000, 4, 0.0125, 1, 2.117947142571211
1000, 8000, 8, 0.0125, 1, 1.0788703430444002
1000, 8000, 15, 0.0125, 1, 0.5823996542021632
1000, 8000, 1, 0.0125, 5, 8.220846084877849
1000, 8000, 2, 0.0125, 5, 4.115019889548421
1000, 8000, 4, 0.0125, 5, 2.0798648353666067
1000, 8000, 8, 0.0125, 5, 1.0466657625511289
1000, 8000, 15, 0.0125, 5, 0.5777680855244398
1000, 8000, 1, 0.0125, 10, 8.23553441464901
1000, 8000, 2, 0.0125, 10, 4.150848659686744
1000, 8000, 4, 0.0125, 10, 2.088766571134329
1000, 8000, 8, 0.0125, 10, 1.0547220185399055
1000, 8000, 15, 0.0125, 10, 0.5881590638309717
1000, 16000, 1, 0.0125, 1, 16.1961137810722
1000, 16000, 2, 0.0125, 1, 8.236360814422369
1000, 16000, 4, 0.0125, 1, 4.152929957024753
1000, 16000, 8, 0.0125, 1, 2.142749235033989
1000, 16000, 15, 0.0125, 1, 1.135384407825768
1000, 16000, 1, 0.0125, 5, 16.200585293583572
1000, 16000, 2, 0.0125, 5, 8.155688039958477
1000, 16000, 4, 0.0125, 5, 4.090587408281863
1000, 16000, 8, 0.0125, 5, 2.061067613773048
1000, 16000, 15, 0.0125, 5, 1.1100935284048319
1000, 16000, 1, 0.0125, 10, 16.22058269008994
1000, 16000, 2, 0.0125, 10, 8.162313993088901
1000, 16000, 4, 0.0125, 10, 4.094529578462243
1000, 16000, 8, 0.0125, 10, 2.0634411899372935
1000, 16000, 15, 0.0125, 10, 1.1171652022749186
1000, 32000, 1, 0.0125, 1, 32.19670491106808
1000, 32000, 2, 0.0125, 1, 16.33855809736997
1000, 32000, 4, 0.0125, 1, 8.080173115245998
1000, 32000, 8, 0.0125, 1, 4.079261124134064
1000, 32000, 15, 0.0125, 1, 2.226988540031016
1000, 32000, 1, 0.0125, 5, 32.164306121878326
1000, 32000, 2, 0.0125, 5, 16.152591284364462
1000, 32000, 4, 0.0125, 5, 8.087048062123358
1000, 32000, 8, 0.0125, 5, 4.068283502943814
1000, 32000, 15, 0.0125, 5, 2.1904831137508154
1000, 32000, 1, 0.0125, 10, 32.25201299600303
1000, 32000, 2, 0.0125, 10, 16.18464655429125
1000, 32000, 4, 0.0125, 10, 8.10135835595429
1000, 32000, 8, 0.0125, 10, 4.067070075310767
1000, 32000, 15, 0.0125, 10, 2.192384802736342
1000, 64000, 1, 0.0125, 1, 64.19844642933458
1000, 64000, 2, 0.0125, 1, 32.536485771648586
1000, 64000, 4, 0.0125, 1, 16.224612285383046
1000, 64000, 8, 0.0125, 1, 8.112904836423695
1000, 64000, 15, 0.0125, 1, 4.3686575992032886
1000, 64000, 1, 0.0125, 5, 64.20993256289512
1000, 64000, 2, 0.0125, 5, 32.239198587834835
1000, 64000, 4, 0.0125, 5, 16.134271221235394
1000, 64000, 8, 0.0125, 5, 8.091799411922693
1000, 64000, 15, 0.0125, 5, 4.343018182553351
1000, 64000, 1, 0.0125, 10, 64.2519868966192
1000, 64000, 2, 0.0125, 10, 32.216292360797524
1000, 64000, 4, 0.0125, 10, 16.118260588496923
1000, 64000, 8, 0.0125, 10, 8.073302876204252
1000, 64000, 15, 0.0125, 10, 4.337444351054728
500, 500, 1, 0.025, 1, 0.3398914225399494
500, 500, 2, 0.025, 1, 0.15852284152060747
500, 500, 4, 0.025, 1, 0.08580654580146074
500, 500, 8, 0.025, 1, 0.06464635580778122
500, 500, 15, 0.025, 1, 0.08379400055855513
500, 500, 1, 0.025, 5, 0.3526297118514776
500, 500, 2, 0.025, 5, 0.18662637658417225
500, 500, 4, 0.025, 5, 0.10528649296611547
500, 500, 8, 0.025, 5, 0.0988156059756875
500, 500, 15, 0.025, 5, 0.12121282704174519
500, 500, 1, 0.025, 10, 0.3612932553514838
500, 500, 2, 0.025, 10, 0.19553070329129696
500, 500, 4, 0.025, 10, 0.1321351993829012
500, 500, 8, 0.025, 10, 0.13504900503903627
500, 500, 15, 0.025, 10, 0.1500839153304696
500, 1000, 1, 0.025, 1, 0.5810689721256495
500, 1000, 2, 0.025, 1, 0.2889864919707179
500, 1000, 4, 0.025, 1, 0.1569888275116682
500, 1000, 8, 0.025, 1, 0.084205636754632
500, 1000, 15, 0.025, 1, 0.09469631407409906
500, 1000, 1, 0.025, 5, 0.6115878326818347
500, 1000, 2, 0.025, 5, 0.2962011871859431
500, 1000, 4, 0.025, 5, 0.1574489027261734
500, 1000, 8, 0.025, 5, 0.11080033518373966
500, 1000, 15, 0.025, 5, 0.1692431876435876
500, 1000, 1, 0.025, 10, 0.6098553733900189
500, 1000, 2, 0.025, 10, 0.3188321013003588
500, 1000, 4, 0.025, 10, 0.17659742571413517
500, 1000, 8, 0.025, 10, 0.13911866955459118
500, 1000, 15, 0.025, 10, 0.1952173924073577
500, 2000, 1, 0.025, 1, 1.0940370056778193
500, 2000, 2, 0.025, 1, 0.5608143769204617
500, 2000, 4, 0.025, 1, 0.2892065644264221
500, 2000, 8, 0.025, 1, 0.14925996772944927
500, 2000, 15, 0.025, 1, 0.10974899306893349
500, 2000, 1, 0.025, 5, 1.1059817355126143
500, 2000, 2, 0.025, 5, 0.5449628243222833
500, 2000, 4, 0.025, 5, 0.28501761704683304
500, 2000, 8, 0.025, 5, 0.15560675412416458
500, 2000, 15, 0.025, 5, 0.1791044743731618
500, 2000, 1, 0.025, 10, 1.1108970688655972
500, 2000, 2, 0.025, 10, 0.5570737039670348
500, 2000, 4, 0.025, 10, 0.2943885987624526
500, 2000, 8, 0.025, 10, 0.1840539462864399
500, 2000, 15, 0.025, 10, 0.24828086607158184
500, 4000, 1, 0.025, 1, 2.1084600584581494
