n, t, workers, frac, accesses, kernel_total, kernel_average, kernel_median, task_cleanup_total, task_cleanup_average, task_cleanup_median, task_spawn_total
500, 500, 4, 0, 1, 86770060, 43385.03, 24041.5, 0, nan, nan, 0
500, 500, 8, 0, 1, 266084431, 66521.10775, 41373.0, 0, nan, nan, 0
500, 500, 15, 0, 1, 3373032522, 449737.6696, 362467.0, 0, nan, nan, 0
500, 500, 1, 0, 5, 5823567, 2329.4268, 1806.5, 0, nan, nan, 0
500, 500, 2, 0, 5, 39555817, 7911.1634, 5271.0, 0, nan, nan, 0
500, 500, 4, 0, 5, 160912810, 16091.281, 5233.0, 0, nan, nan, 0
500, 500, 8, 0, 5, 3117791737.0, 155905.17736773676, 140880.0, 0, nan, nan, 0
500, 500, 15, 0, 5, 12916432341, 344438.19576, 201650.5, 0, nan, nan, 0
500, 500, 1, 0, 10, 10253292, 2050.6584, 1683.0, 0, nan, nan, 0
500, 500, 2, 0, 10, 65658857, 6565.8857, 5033.0, 0, nan, nan, 0
500, 500, 4, 0, 10, 337082297, 16854.11485, 5034.5, 0, nan, nan, 0
500, 500, 8, 0, 10, 7906783427, 197669.585675, 195902.0, 0, nan, nan, 0
500, 500, 15, 0, 10, 33126103852.0, 441693.16317768476, 265047.0, 0, nan, nan, 0
500, 1000, 1, 0, 1, 2130060, 4260.12, 3533.0, 0, nan, nan, 0
500, 1000, 2, 0, 1, 9708804, 9708.804, 7640.0, 0, nan, nan, 0
500, 1000, 4, 0, 1, 74110325, 37055.1625, 12507.0, 0, nan, nan, 0
500, 1000, 8, 0, 1, 294377486, 73594.3715, 47659.0, 0, nan, nan, 0
500, 1000, 15, 0, 1, 1284642486, 171285.6648, 128585.5, 0, nan, nan, 0
500, 1000, 1, 0, 5, 6031843, 2412.7372, 2013.5, 0, nan, nan, 0
500, 1000, 2, 0, 5, 41383682, 8276.7364, 5086.0, 0, nan, nan, 0
500, 1000, 4, 0, 5, 124041308, 12404.1308, 5174.0, 0, nan, nan, 0
500, 1000, 8, 0, 5, 871831099, 43591.55495, 8599.0, 0, nan, nan, 0
500, 1000, 15, 0, 5, 15581702013, 415512.05368, 175521.5, 0, nan, nan, 0
500, 1000, 1, 0, 10, 11930093, 2386.0186, 1958.0, 0, nan, nan, 0
500, 1000, 2, 0, 10, 63975073, 6397.5073, 5110.0, 0, nan, nan, 0
500, 1000, 4, 0, 10, 237037792, 11851.8896, 5258.0, 0, nan, nan, 0
500, 1000, 8, 0, 10, 5531296326, 138282.40815, 130657.5, 0, nan, nan, 0
500, 1000, 15, 0, 10, 24505903028.0, 326754.08714899066, 207890.0, 0, nan, nan, 0
500, 2000, 1, 0, 1, 2115190, 4230.38, 3400.5, 0, nan, nan, 0
500, 2000, 2, 0, 1, 9249641, 9249.641, 7700.0, 0, nan, nan, 0
500, 2000, 4, 0, 1, 76549488, 38274.744, 11652.0, 0, nan, nan, 0
500, 2000, 8, 0, 1, 233373655, 58343.41375, 37015.5, 0, nan, nan, 0
500, 2000, 15, 0, 1, 1469410629, 195921.4172, 146749.0, 0, nan, nan, 0
500, 2000, 1, 0, 5, 6413339, 2565.3356, 2197.0, 0, nan, nan, 0
500, 2000, 2, 0, 5, 31832800, 6366.56, 5185.0, 0, nan, nan, 0
500, 2000, 4, 0, 5, 126014355, 12601.4355, 5167.0, 0, nan, nan, 0
500, 2000, 8, 0, 5, 400751878, 20037.5939, 6039.0, 0, nan, nan, 0
500, 2000, 15, 0, 5, 9024772957, 240660.61218666667, 168273.5, 0, nan, nan, 0
500, 2000, 1, 0, 10, 10590880, 2118.176, 1814.0, 0, nan, nan, 0
